epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1553.88,1.12193,0.84773,1.27119,0.81199,0.56481,0.66021,0.37972,1.70702,1.33386,1.7555,0.003928,0.003928,0.003928
94,1570.15,1.12933,0.85286,1.28235,0.82474,0.58294,0.66317,0.36732,1.71725,1.30202,1.78382,0.003862,0.003862,0.003862
95,1585.91,1.14392,0.8484,1.29343,0.79893,0.6095,0.66001,0.37126,1.74346,1.30948,1.81842,0.003796,0.003796,0.003796
96,1600.65,1.10604,0.82805,1.2694,0.76354,0.60282,0.64562,0.36419,1.74622,1.34491,1.80248,0.00373,0.00373,0.00373
97,1615.6,1.11182,0.83017,1.28134,0.85283,0.58658,0.65176,0.36614,1.72881,1.28638,1.79094,0.003664,0.003664,0.003664
98,1630.44,1.12235,0.82926,1.2787,0.80226,0.58953,0.63665,0.35761,1.73428,1.36242,1.80163,0.003598,0.003598,0.003598
99,1645.41,1.11371,0.83059,1.27095,0.83753,0.62114,0.67123,0.37232,1.73428,1.29447,1.78102,0.003532,0.003532,0.003532
100,1660.15,1.11011,0.83575,1.27787,0.86365,0.59191,0.65302,0.37399,1.71164,1.31317,1.76515,0.003466,0.003466,0.003466
101,1675.08,1.09704,0.80663,1.26612,0.79239,0.61561,0.64527,0.36575,1.7034,1.33751,1.75556,0.0034,0.0034,0.0034
102,1690.14,1.09211,0.79726,1.25937,0.79517,0.58719,0.65099,0.37149,1.70264,1.32993,1.76148,0.003334,0.003334,0.003334
103,1704.94,1.1129,0.82468,1.27958,0.82584,0.58802,0.65756,0.37508,1.71249,1.29909,1.79675,0.003268,0.003268,0.003268
104,1719.96,1.08763,0.81092,1.25125,0.86315,0.57647,0.65691,0.36453,1.74628,1.34418,1.8253,0.003202,0.003202,0.003202
